城市名称,城市编码,线路名称,线路编码,站点名称,站点编码,经度,纬度,POI编码,英文
深圳市,4403,地铁一号线,440300024063,罗湖,440300024063031,114.118666,22.532083,BV10249978,Luohu
深圳市,4403,地铁一号线,440300024063,国贸,440300024063030,114.118909,22.53968,BV10243546,Guomao
深圳市,4403,地铁一号线,440300024063,老街,440300024060022,114.116939,22.544232,BV10249964,Laojie
深圳市,4403,地铁一号线,440300024063,大剧院,440300024063028,114.107811,22.5418,BV10246013,Grand Theater
深圳市,4403,地铁一号线,440300024063,科学馆,440300024046036,114.095173,22.540618,BV10245558,Science Museum
深圳市,4403,地铁一号线,440300024063,华强路,440300024063026,114.085133,22.540459,BV10249909,Huaqiang Rd
深圳市,4403,地铁一号线,440300024063,岗厦,440300024063025,114.06819,22.534854,BV10243519,Gangxia
深圳市,4403,地铁一号线,440300024063,会展中心,440300024063024,114.061101,22.534769,BV10243493,Convention & Exhibition Center
深圳市,4403,地铁一号线,440300024063,购物公园,440300024060029,114.054581,22.534655,BV10248569,Shopping Park
深圳市,4403,地铁一号线,440300024063,香蜜湖,440300024063022,114.038637,22.538887,BV10243468,Xiangmi Lake
深圳市,4403,地铁一号线,440300024063,车公庙,440300024050011,114.02583,22.536247,BV10249928,Chegongmiao
深圳市,4403,地铁一号线,440300024063,竹子林,440300024063020,114.013917,22.533357,BV10243704,Zhuzilin
深圳市,4403,地铁一号线,440300024063,侨城东,440300024063019,113.996651,22.532406,BV10249977,Qiaocheng East
深圳市,4403,地铁一号线,440300024063,华侨城,440300024063018,113.985369,22.533489,BV10249976,OCT(Oversea Chinese Town)
深圳市,4403,地铁一号线,440300024063,世界之窗,440300024063017,113.974216,22.5369,BV10242356,Window of the World
深圳市,4403,地铁一号线,440300024063,白石洲,440300024063016,113.967048,22.539604,BV10244044,Baishizhou
深圳市,4403,地铁一号线,440300024063,高新园,440300024063015,113.953842,22.540236,BV10249975,High-tech Park
深圳市,4403,地铁一号线,440300024063,深大,440300024063014,113.944173,22.538667,BV10249974,Shenzhen University
深圳市,4403,地铁一号线,440300024063,桃园,440300024063013,113.924857,22.532357,BV10249851,Taoyuan
深圳市,4403,地铁一号线,440300024063,大新,440300024063012,113.915072,22.532232,BV10249973,Daxin
深圳市,4403,地铁一号线,440300024063,鲤鱼门,440300024063011,113.903079,22.532005,BV10249972,Liyumen
深圳市,4403,地铁一号线,440300024063,前海湾,440300024056006,113.897932,22.537121,BV10249931,Qianhaiwan
深圳市,4403,地铁一号线,440300024063,新安,440300024063009,113.894625,22.547468,BV10249971,Xin'an
深圳市,4403,地铁一号线,440300024063,宝安中心,440300024058025,113.887233,22.554575,BV10249947,Bao'an Center
深圳市,4403,地铁一号线,440300024063,宝体,440300024063007,113.880641,22.560741,BV10249970,Bao'an Stadium
深圳市,4403,地铁一号线,440300024063,坪洲,440300024063006,113.870711,22.568908,BV10249969,Pingzhou
深圳市,4403,地铁一号线,440300024063,西乡,440300024063005,113.863048,22.575149,BV10249968,Xixiang
深圳市,4403,地铁一号线,440300024063,固戍,440300024063004,113.846792,22.601363,BV10242458,Gushu
深圳市,4403,地铁一号线,440300024063,后瑞,440300024063003,113.835449,22.628835,BV10244581,Hourui
深圳市,4403,地铁一号线,440300024063,机场东,440300024063002,113.822634,22.647001,BV10249071,Airport East
深圳市,4403,地铁二号线,440300024076,赤湾,440300024058035,113.897525,22.479227,BV10249984,Chiwan
深圳市,4403,地铁二号线,440300024076,蛇口港,440300024076003,113.912331,22.476626,BV10249985,Sehkou Port
深圳市,4403,地铁二号线,440300024076,海上世界,440300024076004,113.915111,22.485101,BV10244034,Sea World
深圳市,4403,地铁二号线,440300024076,水湾,440300024076005,113.919686,22.488389,BV10249986,Shuiwan
深圳市,4403,地铁二号线,440300024076,东角头,440300024076006,113.931149,22.486325,BV10244079,Dongjiaotou
深圳市,4403,地铁二号线,440300024076,湾厦,440300024076007,113.938604,22.493353,BV10249987,Wanxia
深圳市,4403,地铁二号线,440300024076,海月,440300024076008,113.937715,22.500409,BV10249988,Haiyue
深圳市,4403,地铁二号线,440300024076,登良,440300024076009,113.937602,22.509146,BV10249989,Dengliang
深圳市,4403,地铁二号线,440300024076,后海,440300024056016,113.942498,22.518422,BV10249990,Houhai
深圳市,4403,地铁二号线,440300024076,科苑,440300024076011,113.946195,22.527019,BV10249991,Keyuan
深圳市,4403,地铁二号线,440300024076,红树湾,440300024076012,113.968432,22.525142,BV10249992,Hongshuwan
深圳市,4403,地铁二号线,440300024076,世界之窗,440300024063017,113.974216,22.5369,BV10242356,Window of the World
深圳市,4403,地铁二号线,440300024076,侨城北,440300024076014,113.989148,22.543992,BV10249993,Qiaocheng North
深圳市,4403,地铁二号线,440300024076,深康,440300024076015,113.998846,22.546456,BV10249994,Shenkang
深圳市,4403,地铁二号线,440300024076,安托山,440300024050009,114.006236,22.548785,BV10249904,Antuoshan
深圳市,4403,地铁二号线,440300024076,侨香,440300024076017,114.014378,22.549784,BV10249995,Qiaoxiang
深圳市,4403,地铁二号线,440300024076,香蜜,440300024076018,114.023851,22.552772,BV10249996,Xiangmi
深圳市,4403,地铁二号线,440300024076,香梅北,440300024076019,114.032716,22.55386,BV10243787,Xiangmei North
深圳市,4403,地铁二号线,440300024076,景田,440300024054015,114.043343,22.553419,BV10249926,Jingtian
深圳市,4403,地铁二号线,440300024076,莲花西,440300024076021,114.050034,22.546668,BV10249997,Lianhua West
深圳市,4403,地铁二号线,440300024076,福田,440300024056002,114.052879,22.540087,BV10249929,Futian
深圳市,4403,地铁二号线,440300024076,市民中心,440300024074013,114.061192,22.541744,BV10243488,Civic Center
深圳市,4403,地铁二号线,440300024076,岗厦北,440300024076024,114.068982,22.540858,BV10249998,Gangxia North
深圳市,4403,地铁二号线,440300024076,华强北,440300024050028,114.085413,22.544441,BV10243650,Huaqiang North
深圳市,4403,地铁二号线,440300024076,燕南,440300024076026,114.092561,22.544541,BV10249999,Yannan
深圳市,4403,地铁二号线,440300024076,大剧院,440300024063028,114.107811,22.5418,BV10246013,Grand Theater
深圳市,4403,地铁二号线,440300024076,湖贝,440300024076028,114.125437,22.544287,BV10250000,Hubei
深圳市,4403,地铁二号线,440300024076,黄贝岭,440300024058002,114.136332,22.546095,BV10243876,Huangbeiling
深圳市,4403,地铁二号线,440300024076,新秀,440300024076030,114.148765,22.547688,BV10249914,Xinxiu
深圳市,4403,地铁三号线,440300024060,益田,440300024060031,114.050987,22.516287,BV10249967,Yitian
深圳市,4403,地铁三号线,440300024060,石厦,440300024050014,114.053616,22.523708,BV10243850,Shixia
深圳市,4403,地铁三号线,440300024060,购物公园,440300024060029,114.054581,22.534655,BV10248569,Shopping Park
深圳市,4403,地铁三号线,440300024060,福田,440300024056002,114.052879,22.540087,BV10249929,Futian
深圳市,4403,地铁三号线,440300024060,少年宫,440300024060027,114.06017,22.548627,BV10243648,Children's Palace
深圳市,4403,地铁三号线,440300024060,莲花村,440300024060026,114.067829,22.548646,BV10249966,Lianhuacun
深圳市,4403,地铁三号线,440300024060,华新,440300024050019,114.086654,22.548981,BV10249910,Huaxin
深圳市,4403,地铁三号线,440300024060,通新岭,440300024046037,114.096273,22.549126,BV10249965,Tongxinling
深圳市,4403,地铁三号线,440300024060,红岭,440300024054005,114.104584,22.54838,BV10249921,Hongling
深圳市,4403,地铁三号线,440300024060,老街,440300024060022,114.116939,22.544232,BV10249964,Laojie
深圳市,4403,地铁三号线,440300024060,晒布,440300024060021,114.122664,22.549238,BV10249963,Shaibu
