"","hsCodeId","panjivaRecordId","hsCode"
"1",3200209,34419861,"; ; [""Classified: 0203.29; Parsed: 9506.32""]"
"2",3200210,34419941,"; ; [""Parsed: 1214.90""]"
"3",3200211,34419961,"; ; ; [""Classified: 4804.11; Parsed: 4811.51.20.10""]"
"4",3200212,34419981,"; ; ; ; ; [""Parsed: 1214.90""]"
"5",3200213,34420001,"; [""Parsed: 2103.90.90; Classified: 5504.10""]"
"6",3200215,34420041,"; ; ; ; ; ; [""Parsed: 4707.10.00""]"
"7",3200216,34425001,"; [""Parsed: 2002.90.00.60; Parsed: 2002.90.00.80""]"
"8",3200217,34425021,"; [""Parsed: 0806.10.00.50""]"
"9",3200218,34425041,"; [""Parsed: 0203.29""]"
"10",3200219,34425061,"; [""Classified: 0203.29; Parsed: 1602.49""]"
"11",3200220,34425081,"; [""Parsed: 0202.30; Classified: 0203.29""]"
"12",3200221,34425101,"; [""Classified: 0203.29""]"
"13",3200222,34425121,"; [""Parsed: 0408.19""]"
"14",3200223,34425141,"; [""Parsed: 3209.10; Classified: 4703.21""]"
"15",3200224,34425161,"; ; ; ; ; ; ; ; ; ; ; [""Parsed: 4707.10.00""]"
"16",3200226,34425241,"; ; ; ; ; [""Parsed: 3903.19""]"
"17",3200228,34425301,"; ; ; ; ; ; ; ; ; ; [""Parsed: 4707.10.00""]"
"18",3200229,34426521,"; [""Classified: 3923.21""]"
"19",3200230,34426541,"; [""Parsed: 8418.40; Classified: 8503.00""]"
"20",3200231,34426561,"; [""Classified: 3906.90""]"
"21",3200232,34426581,"; [""Parsed: 8436.99""]"
"22",3200233,34426601,"; [""Classified: 3901.20""]"
"23",3200234,34426621,"; [""Classified: 7326.90""]"
"24",3200235,34426641,"; [""Classified: 4804.41""]"
"25",3200236,34426821,"; [""Classified: 3701.10; Parsed: 3702.42""]"
"26",3200237,34426841,"; [""Parsed: 3703.10""]"
"27",1178995,32700155,"381121; 390940; 381121; 340290; 38112100; 3909.40 3811.21, 3811.21, 3402.90 3811.21.00"
"28",1178996,32700175,"390410; 390410; 390410; 390410; 390410; 390410; 390410; 3904.10, 3904.10, 3904.10, 3904.10, 3904.10, 3904.10, 3904.10"
"29",1178997,32700215,"390120; 390920; 3901.20, 3909.20"
"30",1178998,32700235,"390120; 390120; 390120; 390120; 390120; 390120; 390120; 3901.20, 3901.20, 3901.20, 3901.20, 3901.20, 3901.20, 3901.20"
"31",1178999,32700255,"390120; 3901.20"
"32",1179000,32700295,"520100; 520100; 520100; 520100; 520100; 520100; 520100; 520100; 520100; 520100; 520100; 520100; 520100; 520100; 520100; 520100; 520100; 520100; 520100; 520100; 520100; 520100; 520100; 520100; 520100; 5201.00, 5201.00, 5201.00, 5201.00, 5201.00, 5201.00, 5201.00, 5201.00, 5201.00, 5201.00, 5201.00, 5201.00, 5201.00, 5201.00, 5201.00, 5201.00, 5201.00, 5201.00, 5201.00, 5201.00, 5201.00, 5201.00, 5201.00, 5201.00, 5201.00"
"33",1179001,32700335,"870323; 8703.23,8703.23,8703.23,8703.23"
"34",3200238,34426881,"; [""Parsed: 3901.90.55.01""]"
"35",1179003,32700275,"39011000; 390110; 3901.10.00, 3901.10"
"36",1179004,32700195,"390110; 390140; 390939; 3901.10 3901.40 3909.39"
"37",3200239,34426901,"; [""Classified: 0201.30; Parsed: 0202.30""]"
"38",3200240,34426921,"; [""Classified: 3923.30; Parsed: 7310.29""]"
"39",3200241,34426941,"; [""Parsed: 2710.19; Classified: 8415.90""]"
"40",3200242,34426981,"; [""Classified: 3911.90""]"
"41",3200243,34427021,"; [""Classified: 8443.99; Parsed: 8504.40""]"
"42",1179010,32703995,"870323; 8703.23,8703.23,8703.23,8703.23"
"43",3200244,34427041,"; ; [""Parsed: 0806.10""]"
"44",1179012,32704055,"870323; 870390; 8703.23 8703.90"
"45",1179013,32704095,"870323; 8703.23,8703.23,8703.23"
"46",1179014,32704115,"870323; 870390; 8703.23 8703.90,8703.23 8703.90,8703.23 8703.90,8703.23 8703.90"
"47",1179015,32704175,"691190; 6911.90"
"48",3200245,34427061,"; [""Parsed: 1201.90.00.95""]"
"49",3200246,34427081,"; ; [""Classified: 3907.30""]"
"50",1179019,32704315,"870323; 8703.23,8703.23,8703.23,8703.23"
"51",1179020,32704375,"8529909900; 8529.90.99.00"
"52",1179021,32704395,"760612; 7606.12"
"53",3200247,34427101,"; [""Classified: 3923.21""]"
"54",3200248,34427121,"; [""Classified: 0901.11""]"
"55",1179024,32704515,"6309000000; 6309.00.00.00"
"56",1179025,32704535,"6309000000; 6309.00.00.00"
"57",3200249,34427141,"; [""Classified: 3923.21""]"
"58",1179027,32704655,"870323; 8703.23"
"59",1179028,32704675,"870323; 8703.23,8703.23,8703.23,8703.23"
"60",3200251,34427201,"; [""Classified: 3824.99""]"
"61",1179031,32704775,"52010010; 5201.00.10"
"62",3200252,34427221,"; [""Classified: 0713.10; Parsed: 3404.90.51.60""]"
"63",1179034,32704755,"870323; 8703.23,8703.23,8703.23,8703.23"
"64",3200253,34427241,"; [""Parsed: 3204.12; Classified: 9401.61""]"
"65",1179036,32704615,""
"66",1179037,32704575,"870323; 870324; 8703.24 8703.23,8703.23,8703.23,8703.23"
"67",3200254,34427261,"; [""Parsed: 2519.90.10.00""]"
"68",3200255,34427301,"; [""Parsed: 3901.90.55.01""]"
"69",3200256,34427321,"; [""Classified: 2931.90""]"
"70",1179041,32704415,"870323; 8703230190; 8703.23,8703.23,8703.23.01.90"
"71",1179042,32704355,"870323; 870324; 8703.23,8703.24 8703.23,8703.23,8703.24 8703.23"
"72",1179043,32704335,"870323; 8703.23,8703.23,8703.23,8703.23"
"73",1179048,32704135,"870323; 870380; 870899; 871190; 871410; 8703.23,8703.23,8708.99,8714.10,8703.23 8711.90,8714.10,8711.90,8708.99,8703.23 8703.80,8708.99"
"74",3200259,34427401,"; ; ; ; ; ; ; ; ; ; [""Parsed: 7204.49.00""]"
"75",1179051,32704015,"870323; 8703.23,8703.23,8703.23,8703.23"
"76",3200260,34427421,"; [""Parsed: 0203.29""]"
"77",3200261,34427441,"; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; [""Parsed: 1201.90.00.95""]"
"78",3200264,34427621,"; [""Classified: 1905.90""]"
"79",3200265,34427901,"; [""Classified: 4819.10""]"
"80",3200266,34427921,"; [""Classified: 9403.60""]"
"81",1179059,32705735,"481960; 4819.60"
"82",1179062,32705715,"230110; 230990; 230110; 230990; 230110; 230990; 230110; 230990; 230110; 230990; 230110; 230990; 230110; 230990; 230110; 230990; 2309.90 2301.10, 2309.90 2301.10, 2309.90 2301.10, 2309.90 2301.10, 2309.90 2301.10, 2309.90 2301.10, 2309.90 2301.10, 2309.90 2301.10"
"83",1179063,32705795,"481920; 4819.20"
"84",3200267,34427941,"; [""Classified: 0207.14""]"
"85",1179065,32705855,"271119; 401110; 401110; 4011.10 2711.19, 4011.10"
"86",3200268,34428641,"; [""Classified: 2916.12""]"
"87",1179067,32705875,""
"88",1179068,32705895,"470710; 470710; 481013; 470710; 481013; 470710; 481013; 470710; 481013; 470710; 481013; 4707.10, 4810.13 4707.10, 4810.13 4707.10, 4810.13 4707.10, 4810.13 4707.10, 4810.13 4707.10"
"89",3200269,34428661,"; [""Classified: 1006.30""]"
"90",1179070,32705935,"720410; 720441; 720410; 720441; 720410; 720441; 720410; 720441; 7204.41 7204.10, 7204.41 7204.10, 7204.41 7204.10, 7204.41 7204.10"
"91",3200270,34428681,"; [""Classified: 3401.11""]"
"92",1179072,32707815,"230800; 230310; 230310; 230310; 230310; 230310; 230310; 230310; 230310; 230310; 230310; 230310; 230310; 230310; 230310; 230310; 230310; 230310; 230310; 230310; 230310; 230310; 230310; 230310; 2308.00, 2303.10, 2303.10, 2303.10, 2303.10, 2303.10, 2303.10, 2303.10, 2303.10, 2303.10, 2303.10, 2303.10, 2303.10, 2303.10, 2303.10, 2303.10, 2303.10, 2303.10, 2303.10, 2303.10, 2303.10, 2303.10, 2303.10, 2303.10"
"93",3200271,34428701,"; [""Classified: 8703.23""]"
"94",3200272,34428761,"; [""Classified: 3505.10""]"
"95",1178561,32694403,"340213; 340213; 340213; 340213; 340213; 3402.13, 3402.13, 3402.13, 3402.13, 3402.13"
"96",5099989,50879475,"[""Classified: 8703.23""]"
"97",1178563,32694763,"200290; 200290; 200290; 200290; 200290; 200290; 200290; 200290; 200290; 200290; 2002.90, 2002.90, 2002.90, 2002.90, 2002.90, 2002.90, 2002.90, 2002.90, 2002.90, 2002.90"
"98",3200543,34353753,"Parsed: 1704.90.35.90; Classified: 9503.00"
"99",3200544,34353813,"Parsed: 0808.10"
"100",1178566,32694883,"220421; 220421; 2204.21, 2204.21"
"101",1178568,32694923,"0813200000; 0813200000; 0813200000; 0813200000; 0813200000; 0813200000; 0813.20.00.00, 0813.20.00.00, 0813.20.00.00, 0813.20.00.00, 0813.20.00.00, 0813.20.00.00"
"102",3200545,34353833,"; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"
"103",1178570,32695663,""
"104",3200546,34354753,"Parsed: 4707.30; Parsed: 4707.90.00; Parsed: 4707.30; Classified: 4707.90; Parsed: 4707.30; Classified: 4707.90; Parsed: 4707.30; Classified: 4707.90; Parsed: 4707.30; Classified: 4707.90; Parsed: 4707.30; Classified: 4707.90; Parsed: 4707.30; Classified: 4707.90; Parsed: 4707.90; Parsed: 4707.90; Parsed: 4707.90; Parsed: 4707.90; Parsed: 4707.90; Parsed: 4707.90; Parsed: 4707.90; Parsed: 4707.90; Parsed: 4707.90.00; Parsed: 4707.90.00; Parsed: 4707.90; Parsed: 4707.90; Parsed: 4707.90"
"105",1178572,32695703,"382490; 3824.90"
"106",1178573,32695623,"390799; 3907.99"
"107",3200547,34354773,"Parsed: 7606.11"
"108",1178575,32695723,"271019; 271019; 271019; 2710.19, 2710.19, 2710.19"
"109",1178576,32695743,"390120; 390120; 390120; 390120; 3901.20, 3901.20, 3901.20, 3901.20"
"110",3200548,34354793,"Parsed: 4707.20; Parsed: 4707.20; Parsed: 4707.20"
"111",1178578,32695783,"291613; 2916.13"
"112",3200549,34354833,"Classified: 3824.99; Classified: 8703.23; Parsed: 9403.90.70.00; Parsed: 9506.31; Parsed: 9506.31.00.00"
"113",1178580,32695863,"390110; 3901.10,3901.10"
"114",1178581,32695883,"382499; 3824.99"
"115",1178582,32695943,"2710199000; 2710199000; 2710.19.90.00, 2710.19.90.00"
"116",1178583,32695963,"293369; 2933.69"
"117",3200550,34354853,"Parsed: 3809.93.00"
"118",1178586,32696063,"292910; 292910; 2929.10, 2929.10"
"119",1178587,32696083,"291614; 2916.14"
"120",1178588,32696103,"390140; 390140; 3901.40, 3901.40"
"121",1178589,32696123,"350400; 3504.00"
"122",3200551,34354873,"Parsed: 3917.40.00.90; Parsed: 3926.90.45.90; Parsed: 4016.10; Classified: 8431.49"
"123",1178591,32696043,"520100; 5201.00"
"124",1178592,32696023,"843149; 8431.49"
"125",1178593,32695923,"271019; 2710.19"
"126",3200552,34354893,"Parsed: 7204.49.00; Parsed: 7404.00; Parsed: 7602.00"
"127",1178596,32695803,"2915600000; 291590; 2915.60.00.00 2915.90"
"128",3200554,34354933,"Classified: 4707.10; Parsed: 4707.20; Classified: 4707.10; Parsed: 4707.20; Parsed: 4707.20; Classified: 4707.90; Classified: 4707.10; Parsed: 4707.20; Classified: 4707.10; Parsed: 4707.20; Classified: 4707.10; Parsed: 4707.20"
"129",1178600,32696263,"230110; 2301.10"
"130",3200557,34355033,"Classified: 8518.30"
"131",1178604,32696343,"392410; 3924.10"
"132",3200559,34355093,"Parsed: 3924.90; Classified: 8471.49"
"133",3200560,34355113,"Classified: 8703.23"
"134",3200562,34355593,"Classified: 2103.20"
"135",3200563,34419293,"; [""Classified: 0206.22; Parsed: 7204.49.00""]"
"136",3200564,34419393,"; ; [""Parsed: 7009.10.00.00; Parsed: 8414.80.90.00; Parsed: 8543.70.99.60; Classified: 8708.29""]"
"137",3200566,34419433,"; ; ; [""Classified: 3811.21""]"
"138",3200567,34419453,"; [""Classified: 6907.22""]"
"139",3200568,34419473,"; ; [""Classified: 2816.40; Parsed: 2922.19.60""]"
"140",3200569,34419753,"[""""]"
"141",3200570,34419773,"; [""Classified: 0203.29; Parsed: 1516.20.00.00""]"
"142",3200571,34419793,"; [""Classified: 7610.10""]"
"143",3200572,34419813,"; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; [""Parsed: 2004.10""]"
"144",3200573,34419833,"; [""Parsed: 0710.40""]"
"145",3200574,34419893,"; ; [""Classified: 2303.30""]"
"146",3200575,34419913,"; ; [""Parsed: 1214.90""]"
"147",3200576,34419953,"; ; ; [""Parsed: 4811.51.20.10""]"
"148",1178623,32699663,""
"149",3200577,34419973,"; [""Parsed: 1008.90.01.40; Classified: 1904.10""]"
"150",3200578,34424973,"; [""Classified: 0207.14""]"
"151",3200579,34425013,"; [""Classified: 0203.29""]"
"152",3200580,34425033,"; [""Parsed: 0806.10""]"
"153",3200581,34425053,"; [""Classified: 0203.29; Parsed: 1602.49""]"
"154",3200582,34425073,"; [""Classified: 0203.29; Parsed: 1602.49""]"
"155",3200584,34425113,"; [""Parsed: 0203.29""]"
"156",3200585,34425133,"; [""Parsed: 0408.19""]"
"157",3200586,34425233,"; ; ; [""Classified: 4707.10; Parsed: 4707.90.00""]"
"158",3200588,34425293,"; ; [""Parsed: 1515.29.00.40; Classified: 1515.90; Parsed: 3911.90.90""]"
"159",3200590,34426513,"; [""Classified: 3402.20""]"
"160",3200592,34426573,"; [""Classified: 4703.21""]"
"161",3200594,34426653,"; [""Parsed: 3921.19""]"
"162",1178642,32700163,"390120; 390190; 390120; 390120; 390120; 3901.20 3901.90, 3901.20, 3901.20, 3901.20"
"163",1178643,32700183,"390410; 390410; 3904.10, 3904.10"
"164",1178644,32700203,"870323; 8703.23,8703.23,8703.23,8703.23"
"165",3200595,34426673,"; [""Classified: 8544.49""]"
"166",1178646,32700263,"390120; 390120; 390120; 390120; 3901.20, 3901.20, 3901.20, 3901.20"
