"","panjivarecordid","billOfLadingNumber","shpmtDate","shpName","shpFullAddress","shpRoute","shpCity","shpStateRegion","shpPostalCode","shpCountry","shpPanjivaId","shpOriginalFormat","carrier","shpmtDestination","portOfLading","portOfLadingRegion","portOfLadingCountry","portOfUnlading","portOfUnladingRegion","portofUnladingCountry","placeOfReceipt","vessel","vesselCountry","transportFlightCode","isContainerized","volumeTEU","itemquantity","weightkg","weightt","weightoriginalformat","valueofgoodsusd","equipmenttype","equipmentdimensions","dividedlcl","filedate"
"1",32699663,"HLCUBSC1912BSEQ2",2020-01-01,"Muehlstein International","10 WESTPORT ROAD WILTON, CT - 06897 WILTON CONNECTICUT 06897","10 Westport Road","Wilton","Connecticut","06897","United States","27844369","Muehlstein International 10 Westport Road Wilton Connecticut 06897 Usa","HLCU - Hapag Lloyd A G","Colombia","Houston, Houston, Texas","Southwest Region","United States","Cartagena, Colombia","South America","Colombia","Ushou; Houston, Tx","E.R. Canada","","",NA,NA,"See Container Quantities column","23782",23.782,"23782.0 kg","41300",NA,"","",2020-01-25
"2",38599865,"SMLMPHX0B3413700",2020-08-09,"31125 Cartney Drive","HARRISBURG, OREGON 97446 USA","","Harrisburg","Oregon","","United States","18791148","31125 Cartney Drive","SMLM - Sm Line Corporation","South Korea","Port of Seattle, Seattle, Washington","Pacific Region","United States","Kwangyang, South Korea","Eastern Asia","South Korea","","Schubert","","",1,10,"See Container Quantities column","116264",116.264,"116264.0 kg","",NA,"","",2020-08-31
"3",38741165,"NAM3981920",2020-08-09,"Rogue Wave Holdings Inc.","ONE WEST BROAD STREET 11TH FLOOR, SUITE 20 BETHLEHEM, PA 18015","","Bethlehem","Pennsylvania","18018","United States","71388912","Rogue Wave International, Llc","CMDU - Cma Cgm","Dominican Republic","New York/Newark Area, Newark, New Jersey","New York Region","United States","Haina, Dominican Republic","Caribbean","Dominican Republic","","Warnow Dolphin","","",1,2,"See Container Quantities column","16312",16.312,"16312.0 kg","13000",NA,"","",2020-11-06
"4",38741505,"NAM3983222",2020-08-09,"Gunter International","653 ATKINS AV BROOKLYN NY 11208","653 Atkins Avenue","","New York","11208","United States","33779291","Gunter Shipping Inc","CMDU - Cma Cgm","Jamaica","New York/Newark Area, Newark, New Jersey","New York Region","United States","Kingston, Jamaica","Caribbean","Jamaica","","Warnow Dolphin","","",1,2,"See Container Quantities column","16556",16.556,"16556.0 kg","",NA,"","",2020-11-06
"5",38742385,"NAM3985158",2020-08-09,"Orion Logistics Inc.","32 NOBLE ST NEWARK UNITED STATES","","","","","United States","61298743","Orion Cargo","CMDU - Cma Cgm","Dominican Republic","New York/Newark Area, Newark, New Jersey","New York Region","United States","Haina, Dominican Republic","Caribbean","Dominican Republic","","Warnow Dolphin","","",1,2,"See Container Quantities column","16737.56",16.737558,"16737.558 kg","",NA,"","",2020-11-06
"6",38712605,"NAM3946649",2020-08-09,"Jjb Trucking Services Llc","ADAMS AVE ELIZABETH NJ 07201 UNITED STATES","1077 North Avenue","Elizabeth","New Jersey","07201","United States","41831255","Jjb Trucking Services & Shipping","CMDU - Cma Cgm","Senegal","Georgia Ports Authority, Savannah, Georgia","Southeast Region","United States","Dakar, Senegal","Western Africa","Senegal","","Vienna Express","","",1,2,"See Container Quantities column","8000",8,"8000.0 kg","",NA,"","",2020-10-29
"7",50753809,"LHV2431178",2020-12-28,"Lactalis Ingredients","ETS LACTALIS FEED 7 LES PLACIS 35230 BOURGBARRE FRANCE VAT NO : FR56402737936","","","","","United States","36606426","Lactalis Ingredients","CMDU - Cma Cgm","China","Port of Seattle, Seattle, Washington","Pacific Region","United States","Dagu/Tanggu, China","Eastern Asia","China","","Cosco Asia","","",1,8,"See Container Quantities column","",NA,"kg","",NA,"","",2021-05-19
"8",38713453,"NAM3974626",2020-08-09,"Schwaben Express Inc.","145 HOOK CREEK BLVD BLDG C5C VALLEY STREAMN.Y. 11581 USA","145 Hook Creek Boulevard","New York","New York","11422","United States","44263652","Schwaben Express Inc","CMDU - Cma Cgm","Jordan","Georgia Ports Authority, Savannah, Georgia","Southeast Region","United States","Al Aqabah, Jordan","Western Asia","Jordan","","Vienna Express","","",1,6,"See Container Quantities column","59727",59.727,"59727.0 kg","",NA,"","",2020-10-29
"9",38714453,"NAM3980396",2020-08-09,"Navigation Network Inc.","5620 TCHOUPITOULAS ST 70115 NEW ORLEANS UNITED STATES P.O. BOX 14146 WESTLANDS NAIROBI, 00800 KENYA","225 Arabella Street","New Orleans","Louisiana","70115","United States","45980577","Navigation Network","CMDU - Cma Cgm","Gambia","Georgia Ports Authority, Savannah, Georgia","Southeast Region","United States","Banjul, Gambia","Western Africa","Gambia","","Vienna Express","","",1,2,"See Container Quantities column","11655.51",11.655509,"11655.509 kg","",NA,"","",2020-10-29
"10",50879493,"KKLUTMS200416",2020-04-29,"","","","","","","","","","KKLU - Kawasaki Kisen Kaisha Ltd","Belgium","Port of Brunswick, Brunswick, Georgia","Southeast Region","United States","Zeebrugge, Belgium","Western Europe","Belgium","","Apollon Highway","","",NA,NA,"See Container Quantities column","12034",12.034,"12034.0 kg","",NA,"","",2021-05-28
