"","hsCodeId","panjivaRecordId","hsCode"
"1",21451609,184110145,"9403.90"
"2",21451610,184110205,"4202.92.91.00; 9608.20.00.00"
"3",27724155,184736005,""
"4",27724156,184695299,""
"5",21451618,184110435,""
"6",21451619,184110455,"4202.12"
"7",21451620,184110465,"8518.40"
"8",21451623,184110495,"6402.99"
"9",27724157,184695499,""
"10",21451626,184110565,"3005.90"
"11",21451627,184110575,"9401.30"
"12",21451628,184110605,"8467.29"
"13",21451629,184110615,"6306.12"
"14",21451630,184110625,"3926.90"
"15",21451631,184110655,"8212.10"
"16",21451632,184110665,""
"17",21451633,184110675,"7222.20"
"18",21451634,184110685,"8708.99"
"19",21451635,184110695,"9401.61"
"20",21451636,184110715,"8903.99"
"21",21451637,184110755,"4201.00"
"22",21451638,184110765,"9401.61"
"23",21451639,184110775,"9401.61"
"24",21451643,184110815,""
"25",21451644,184110825,"4016.99"
"26",21451645,184110835,"3406.00"
"27",21451646,184110845,""
"28",21451647,184110855,""
"29",21451648,184110865,"8518.29"
"30",21451649,184110875,""
"31",21451650,184110885,"4202.12"
"32",21451653,184110915,"8428.40"
"33",21451654,184110925,"8302.41"
"34",21451658,184110965,""
"35",21451659,184110975,"8501.31"
"36",21451661,184110995,""
"37",21451662,184111005,"7324.90"
"38",21451663,184111015,"8505.11"
"39",21451664,184111025,""
"40",27724158,184696049,""
"41",21451668,184155108,"6908.90"
"42",21451670,184111055,"8422.30"
"43",21451671,184111065,"7315.12"
"44",21451674,184111095,"8482.30"
"45",21451675,184111105,""
"46",21451676,184111115,""
"47",21451678,184111145,"8708.30"
"48",21451682,184111245,"8544.42"
"49",21451685,184111275,"6305.33"
"50",21451686,184111285,"4202.12"
"51",21451687,184111315,"9403.60"
"52",21451688,184111325,""
"53",21451689,184111385,""
"54",27724160,184696749,""
"55",21451692,184111415,"1605.21"
"56",21451693,184111425,"4418.50"
"57",21451695,184111455,"8708.70"
"58",27724161,184698289,""
"59",27724162,184699079,""
"60",21451702,184111535,""
"61",21451703,184111565,"6403.99"
"62",21451707,184111605,"6402.99"
"63",21451708,184111615,"6402.99"
"64",27724163,184699349,""
"65",21451710,184111635,"9401.80"
"66",21451711,184111645,"6403.99"
"67",21451712,184111655,"6402.99"
"68",21451713,184111665,"6403.99"
"69",21451714,184111675,"6402.99"
"70",27724164,184700229,""
"71",21451727,184111905,"4202.92"
"72",21451728,184111915,"6301.40"
"73",21451729,184111925,"9403.60"
"74",21451730,184111935,"8423.10"
"75",21451731,184111945,"6206.40"
"76",27724165,184702019,""
"77",21451734,184111995,"9403.20"
"78",21451735,184112005,"6109.10"
"79",21451736,184112015,"6109.10"
"80",21451737,184112025,"6111.20"
"81",21451739,184112045,"6109.10"
"82",21451741,184112065,"6204.42"
"83",21451743,184112085,"8409.91"
"84",21451746,184112115,"8712.00"
"85",27724167,184702829,""
"86",21451748,184112135,"0405.10; 0713.90; 0901.21; 0904.22; 0908.31; 0910.20; 1006.30; 1509.10; 1905.90; 2001.90; 2005.51; 2005.60; 2005.70; 2005.99; 2006.00; 2007.91; 2101.20; 2103.20; 2103.90; 2104.10; 2202.91; 4419.19; 6912.00; 8211.91"
"87",21451749,184112145,"0405.10; 0713.90; 0901.21; 0904.22; 0908.31; 0910.20; 1006.30; 1509.10; 1905.90; 2001.90; 2005.51; 2005.60; 2005.70; 2005.99; 2006.00; 2007.91; 2101.20; 2103.20; 2103.90; 2104.10; 2202.91; 4419.19; 6912.00; 8211.91"
"88",27724168,184703129,""
"89",21451751,184112165,"1604.16"
"90",21451752,184112175,"0406.20; 0406.40; 0406.90; 1515.90; 1704.90; 1806.32; 1806.90; 2006.00; 2008.19"
"91",27724170,184703759,""
"92",21451755,184112205,"3303.00"
"93",27724171,184703799,""
"94",27724172,184704659,""
"95",21451762,184112305,""
"96",21451763,184112315,"8483.40"
"97",21451765,184112335,""
"98",21451766,184112345,""
"99",21451767,184112375,"8407.34"
"100",27724173,184704789,""
"101",21451770,184112455,""
"102",21451771,184112465,"3926.90"
"103",21451772,184112475,""
"104",21451773,184112485,"8708.99"
"105",21451774,184112505,"8708.99"
"106",21451775,184112515,"8514.10"
"107",21451776,184112525,""
"108",21451779,184112575,""
"109",27724174,184705009,""
"110",21451782,184112605,"3920.62"
"111",27724175,184705839,""
"112",21451786,184112665,"8507.20"
"113",21451788,184112685,"3926.40"
"114",27724176,184705969,""
"115",21451790,184112715,"1905.90"
"116",21451791,184112725,"3924.10"
"117",21451793,184112745,""
"118",21451794,184112755,"6505.90"
"119",21451795,184112765,"6505.90"
"120",21451796,184112775,"9404.90"
"121",27724177,184706259,""
"122",21451798,184112795,"6302.60"
"123",27724178,184706869,""
"124",27724179,184706919,""
"125",27724180,184707069,""
"126",21451802,184112835,"1006.30"
"127",21451803,184112845,"2103.90"
"128",27724181,184708119,""
"129",21451805,184112865,"2106.90"
"130",21451807,184112885,"0603.90; 4602.19"
"131",21451808,184112905,""
"132",27724182,184708769,""
"133",21451810,184112925,"3920.10"
"134",21451814,184112965,"4009.31"
"135",21451816,184112985,"7219.34"
"136",21451817,184112995,"7219.34"
"137",21451820,184113025,"9403.50"
"138",21451822,184113045,"3824.90"
"139",21451823,184113055,"8507.10"
"140",21451824,184113065,"4418.72"
"141",21451825,184113085,"4407.10"
"142",27724183,184709169,""
"143",21451829,184113125,"8481.80"
"144",21451830,184113135,"7326.90"
"145",21451831,184113145,"7304.29"
"146",21451832,184113155,""
"147",21451833,184113165,"8411.99"
"148",21451835,184113185,"0806.10"
"149",27724185,184710259,""
"150",27724188,184711549,""
"151",27724189,184712469,""
"152",27724191,184714359,""
"153",27724195,184716989,""
"154",27724196,184717069,""
"155",27724200,184718369,""
"156",27724201,184718429,""
"157",27724202,184720369,""
"158",27724203,184720669,""
"159",27724204,184720759,""
"160",27724205,184720839,""
"161",27724207,184722249,""
"162",27724208,184723219,""
"163",27724212,184725309,""
"164",27724215,184726349,""
"165",27724216,184727639,""
"166",27724217,184730179,""
"167",27724218,184730899,""
"168",27724220,184731059,""
"169",27724221,184732479,""
"170",27724222,184732649,""
"171",27724224,184735939,""
"172",27724227,184695636,""
"173",27724228,184695976,""
"174",27724229,184696106,""
"175",27724230,184697276,""
"176",27724232,184697716,""
"177",27724235,184699096,""
"178",27724236,184700016,""
"179",27724237,184700086,""
"180",27724239,184700406,""
"181",27724240,184700946,""
"182",27724244,184702706,""
"183",27724246,184703466,""
"184",27724249,184705266,""
"185",27724250,184705316,""
"186",27724252,184705646,""
"187",27724253,184705966,""
"188",21450669,184111908,""
"189",21450670,184111918,"4901.99"
"190",21450671,184111928,"9401.30"
"191",21450672,184111938,"9401.61"
"192",21450673,184111948,"6301.40"
"193",21450677,184111998,"6505.00"
"194",21450678,184112008,"6109.10"
"195",21450682,184112048,"6111.20"
"196",21450687,184112098,"8708.99"
"197",21450688,184112108,"9403.50"
"198",21450689,184112118,"9401.61; 9401.71; 9403.40; 9403.60"
"199",21450690,184112138,"0405.10; 0713.90; 0901.21; 0904.22; 0908.31; 0910.20; 1006.30; 1509.10; 1905.90; 2001.90; 2005.51; 2005.60; 2005.70; 2005.99; 2006.00; 2007.91; 2101.20; 2103.20; 2103.90; 2104.10; 2202.91; 4419.19; 6912.00; 8211.91"
"200",21450691,184112148,"0405.10; 0713.90; 0901.21; 0904.22; 0908.31; 0910.20; 1006.30; 1509.10; 1905.90; 2001.90; 2005.51; 2005.60; 2005.70; 2005.99; 2006.00; 2007.91; 2101.20; 2103.20; 2103.90; 2104.10; 2202.91; 4419.19; 6912.00; 8211.91"
"201",21450693,184112168,"0406.20; 0406.40; 0406.90; 1515.90; 1704.90; 1806.90; 2006.00; 2008.19"
"202",21450694,184112178,"0406.20; 0406.40; 0406.90; 1515.90; 1704.90; 1806.90; 2006.00; 2008.19"
"203",27724257,184707136,""
"204",27724258,184708146,""
"205",27724259,184708236,""
"206",21450700,184112278,"0709.59"
"207",21450702,184112298,""
"208",21450704,184112318,""
"209",21450705,184112338,"3923.30"
"210",21450706,184112348,"6004.10"
"211",27724260,184708346,""
"212",27724261,184709396,""
"213",27724262,184709496,""
"214",21450713,184112468,""
"215",21450715,184112488,"7318.21; 7318.29"
"216",27724263,184709596,""
"217",21450718,184112518,"4707.20"
"218",21450719,184112528,"7604.29"
"219",21450720,184112538,"2711.13"
"220",21450721,184112578,"8413.40"
"221",21450722,184112598,"8403.10"
"222",27724265,184710766,""
"223",27724266,184710916,""
"224",27724267,184710926,""
"225",21450731,184112718,"4819.40"
"226",21450732,184112728,"8409.99"
"227",27724269,184712766,""
"228",21450734,184112748,"6109.10"
"229",21450735,184112758,"6302.60"
"230",21450736,184112768,""
"231",27724270,184713006,""
"232",21450738,184112788,"4202.92"
"233",21450739,184112798,"3926.40"
"234",21450740,184112808,"9404.90"
"235",27724271,184714426,""
"236",27724272,184714816,""
"237",27724273,184715356,""
"238",27724274,184715666,""
"239",21450747,184112878,"7323.99"
"240",21450748,184112888,"9403.20; 9403.60"
"241",21450749,184112898,"7326.90"
"242",21450751,184112918,""
"243",21450752,184112928,"3920.10"
"244",21450754,184112948,"8708.99"
"245",21450755,184112958,"8708.99"
"246",21450756,184112968,""
"247",21450758,184112988,"7219.34"
"248",21450762,184113028,"9403.50"
"249",27724277,184716136,""
"250",21450766,184113068,"3926.90"
"251",21450767,184113078,"4407.10"
"252",21450771,184113128,"8609.00"
"253",21450772,184113138,"7326.90"
"254",21450773,184113148,""
"255",21450774,184113158,""
"256",21450775,184113168,""
"257",21450778,184113198,"9401.61"
"258",21450779,184113208,"4707.20"
"259",21450780,184113218,"4002.19"
"260",21450782,184113248,"4802.61"
"261",27724279,184716996,""
"262",21450789,184113608,"4901.99"
"263",21450790,184113618,"3923.50"
"264",21450791,184113628,"1509.10"
"265",21450792,184113638,""
"266",21450794,184113688,""
"267",21450798,184113728,""
"268",21450799,184113738,""
"269",21450800,184113758,"4402.90"
"270",21450803,184113788,"4418.20"
"271",21450804,184113798,"8609.00"
"272",21450805,184113808,"8483.60"
"273",21450806,184113818,"3901.10"
"274",21450807,184113828,"8483.60"
"275",21450808,184113838,"8708.99"
"276",21450809,184113848,"2501.00"
"277",21450811,184113878,""
"278",21450812,184113888,"2709.00"
"279",27724282,184718236,""
"280",21450816,184114458,"9019.10"
"281",21450818,184114628,"8481.90"
"282",21450819,184115018,"6802.91"
"283",21450820,184115048,"6802.93"
"284",21450821,184115058,"0304.29"
"285",21450822,184115068,"2917.19"
"286",21450824,184115488,"8301.40"
"287",21450825,184115738,"8708.99"
"288",27724284,184719766,""
"289",21450830,184116398,"6802.93"
"290",21450831,184116768,"3816.00"
"291",21450832,184116818,"8708.29"
"292",21450833,184116828,"8708.29"
"293",21450834,184116838,"8708.99"
"294",21450835,184116888,""
"295",21450837,184116998,""
"296",21450838,184117068,""
"297",21450839,184117188,"8708.99"
"298",27724286,184720456,""
"299",21450845,184117768,"6914.90.00"
"300",21450846,184117978,"1605.90"
"301",21450849,184118138,"8536.50"
"302",21450851,184118308,"8414.90"
"303",21450852,184118318,"6403.99"
"304",21450854,184118628,""
"305",27724288,184721686,""
"306",21450856,184118818,"0304.75"
"307",21450857,184119018,"2204.21"
"308",27724289,184722176,""
"309",21450863,184119348,"9405.10"
"310",27724290,184722486,""
"311",21450865,184119368,"9405.10"
"312",21450866,184119618,"8544.42"
"313",21450867,184119628,"9405.10"
"314",21450868,184119808,""
"315",21450872,184120718,"3808.93"
"316",21450874,184121798,"8503.00"
"317",21450875,184121808,"9405.40"
"318",21450876,184121928,"4011.10"
"319",21450877,184122038,"5404.90"
"320",21450880,184122468,"8483.30"
"321",21450881,184122548,""
"322",27724291,184723746,""
"323",27724292,184723936,""
"324",27724294,184724276,""
"325",27724295,184725206,""
"326",27724296,184725776,""
"327",27724298,184727306,""
"328",27724299,184727336,""
"329",27724300,184728336,""
"330",27724301,184731016,""
"331",27724302,184731956,""
"332",27724304,184736006,""
"333",27724306,184698538,""
"334",27724311,184702798,""
"335",27724314,184704628,""
"336",27724315,184705038,""
"337",27724316,184705918,""
"338",27724317,184705938,""
"339",27724319,184706258,""
"340",27724320,184706868,""
"341",27724321,184706898,""
"342",27724322,184707498,""
"343",27724323,184708188,""
"344",27724324,184708638,""
"345",27724325,184708768,""
"346",27724326,184709178,""
"347",27724327,184710258,""
"348",27724328,184710918,""
"349",27724329,184710958,""
"350",27724330,184713588,""
"351",27724331,184713598,""
"352",27724333,184714428,""
"353",27724335,184715668,""
"354",27724337,184717118,""
"355",27724338,184718148,""
"356",27724340,184718368,""
"357",27724342,184719728,""
"358",27724345,184720988,""
"359",27724346,184721728,""
"360",27724347,184722918,""
"361",27724351,184724018,""
"362",27724352,184724648,""
"363",27724355,184728138,""
"364",27724357,184730848,""
"365",27724358,184731288,""
"366",27724359,184732058,""
"367",27724360,184732488,""
"368",27724361,184732968,""
"369",27724363,184735938,""
"370",27724364,184735968,""
"371",27724365,186232753,""
"372",27724366,186233223,""
"373",27724367,186234343,""
"374",27724368,186234723,""
"375",27724371,186236913,""
"376",21450885,184123208,"9401.79"
"377",21450886,184123218,""
"378",21450887,184123328,""
"379",21450888,184123398,"2204.21"
"380",21450889,184123638,"8464.90"
"381",21450890,184123728,"8503.00"
"382",27724779,186268939,""
"383",27724780,186269039,""
"384",21450895,184123978,""
"385",21450898,184124028,"6204.62"
"386",21450899,184124038,""
"387",21450903,184124558,"3923.10"
"388",21450904,184124608,"8708.99"
"389",21450905,184124618,"3907.30"
"390",21450906,184124628,"3907.30"
"391",21450908,184124798,"7009.10"
"392",27724783,186272099,""
"393",21450911,184125608,"8708.99"
"394",27724784,186273279,""
"395",27724785,186274329,""
"396",27724786,186275229,""
"397",27724787,186275329,""
"398",21450919,184126198,"2513.20"
"399",21450921,184126638,"2204.10"
"400",27724788,186275569,""
"401",21450924,184126818,"3401.11"
"402",21450925,184126828,"3926.20"
"403",21450926,184126838,""
"404",21450928,184126858,"8516.50"
"405",21450929,184127228,"9403.60"
"406",21450930,184127238,"9403.60"
"407",27724789,186275899,""
"408",27724790,186275929,""
"409",21450933,184127288,"2204.21"
"410",21450934,184127328,"2936.28"
"411",27724791,186277529,""
"412",27724792,186277559,""
"413",27724795,186278029,""
"414",21450941,184128128,""
"415",21450943,184128438,"3926.40"
"416",27724796,186278239,""
"417",21450945,184128728,"8708.30"
"418",21450947,184129068,"8708.30"
"419",21450948,184129388,"3921.90; 8803.30"
"420",21450949,184129418,"6802.93"
"421",21450950,184129978,"0910.91"
"422",21450951,184130038,""
"423",21450952,184130798,"3701.30"
"424",21450953,184131098,"7306.30"
"425",21450954,184131628,"3902.10"
"426",21450955,184131838,"7013.49"
"427",27724797,186279749,""
"428",21450958,184131868,"9403.60"
"429",21450959,184131878,"7019.12"
"430",27724798,186280859,""
"431",27724799,186282979,""
"432",27724801,186284139,""
"433",27724802,186284729,""
"434",21450966,184133398,"8408.90"
"435",21450967,184133408,"8408.90"
"436",27724804,186285869,""
"437",27724805,186285889,""
"438",21450971,184133568,"7202.19"
"439",21450972,184133638,"8482.91"
"440",21450973,184133648,"8402.90"
"441",21450974,184133658,""
"442",21450975,184133668,"7210.49"
"443",21450976,184133678,"7210.49"
"444",21450977,184133828,"6810.99"
"445",21450979,184134158,""
"446",21450980,184135728,""
"447",21450981,184135768,"7326.90"
"448",27724806,186286669,""
"449",21450983,184136338,"8708.30"
"450",21450984,184138248,"9401.61"
"451",27724807,186286799,""
"452",21450988,184142638,"6805.10"
"453",27724808,186287109,""
"454",21450990,184142848,"9403.60"
"455",21450993,184143278,"1806.90"
"456",21450994,184143288,"8419.50; 8704.10"
"457",21450995,184143398,""
"458",21450997,184145458,"7403.11"
"459",21450998,184101005,"4407.29"
"460",21450999,184101015,"3801.10"
"461",21451001,184101035,"0409.00"
"462",21451002,184101045,"8903.99"
"463",21451006,184101125,"2917.19"
"464",21451007,184101135,""
"465",21451008,184101145,"3926.90"
"466",21451009,184101155,"9401.61"
"467",21451010,184101175,"8708.30"
"468",21451011,184101185,"8529.10"
"469",27724810,186287319,""
"470",21451015,184101255,"8454.90"
"471",21451016,184101285,"6802.93"
"472",21451017,184101315,"6804.22"
"473",27724811,186288349,""
"474",21451020,184101445,"8525.80"
"475",21451021,184101455,""
"476",21451023,184101475,""
"477",21451026,184101505,"8413.91"
"478",21451027,184101545,"6815.10"
"479",21451028,184101555,"0304.29"
"480",21451029,184101565,"0304.71"
"481",21451030,184101585,"2005.99"
"482",21451031,184101605,"7013.99"
"483",21451032,184101625,"9503.00"
"484",27724813,186288679,""
"485",27724814,186289089,""
"486",21451035,184101695,"3924.90"
"487",21451036,184101705,"8413.70"
"488",21451037,184101735,"4814.20"
"489",21451038,184101745,"8472.90"
