"","panjivarecordid","billofladingnumber","arrivaldate","conname","confulladdress","conroute","concity","constateregion","conpostalcode","concountry","conpanjivaid","conoriginalformat","shpname","shpfulladdress","shproute","shpcity","shpstateregion","shppostalcode","shpcountry","shppanjivaid","shporiginalformat","carrier","notifyparty","notifypartyscac","billofladingtype","masterbillofladingnumber","shpmtorigin","shpmtdestination","shpmtdestinationregion","portofunlading","portofunladingregion","portoflading","portofladingregion","portofladingcountry","placeofreceipt","transportmethod","vessel","vesselvoyageid","vesselimo","iscontainerized","volumeteu","quantity","measurement","weightkg","weightt","weightoriginalformat","valueofgoodsusd","frob","manifestnumber","inbondcode","numberofcontainers","haslcl","filedate"
"1",184112318,"GCLEKRSE12191708",2020-01-01,"Global Transportation Svc Inc.","2201 SIXTH AV SOUTH SEATTLE WA 98134 DISPATCH","2201 6th Avenue South","Seattle","Washington","98134","United States",45957833,"","","","","","","","",NA,"","GCLE - Global Container Line","GLOBAL TRANSPORTATION SVC INC 2201 SIXTH AVE SOUTH, SEATTLE WA98134 USDISPATCH","HDMU - Hyundai Merchant Marine","House","HDMUBUWA4961979","South Korea","Port of Portland, Portland, Oregon","Pacific Region","Port of Tacoma, Tacoma, Washington","Pacific Region","Busan, South Korea","Eastern Asia","South Korea","BUSAN","Maritime","HYUNDAI INTEGRAL","89E",9347592,1,0.09,"28 CTN","",288,0.288,"288 KG",NA,NA,362801,"Immediate Transportation (IT)",1,1,2020-01-02
"2",184112338,"EXDO6430321139",2020-01-01,"Episciences Inc.","10211 W.EMERALD ST BOISE ID 83704 US","10211 West Emerald Street","Boise","Idaho","83704","United States",25747691,"EPISCIENCES, INC. 10211 W EMERALD ST BOISE                   ID 83704 US","Samhwa Plastic Co., Ltd.","1129-1, Guro-Dong, Guro-Gu, Seoul, South Korea, 152-050","","Seoul","","152-050","South Korea",33416654,"SAMHWA PLASTIC CO LTD 1129 1 GURO DONG  GURO GU 152-050 SEOUL                            KR","EXDO - Expeditors International Of Washington Inc","","HDMU - Hyundai Merchant Marine","House","HDMUBUWB9321089","South Korea","Port of Portland, Portland, Oregon","Pacific Region","Port of Tacoma, Tacoma, Washington","Pacific Region","Busan, South Korea","Eastern Asia","South Korea","BUSAN","Maritime","HYUNDAI INTEGRAL","89",9347592,1,0.12,"131 CTN","7 CM",1258,1.258,"1258 KG",NA,NA,1,"Immediate Transportation (IT)",1,1,2020-01-02
"3",184112348,"EXDO6430321571",2020-01-01,"Pine Crest Fabrics, Inc.","6015 NE 80th Avenue, 300, Portland, Oregon, United States, 97218","6015 Northeast 80th Avenue","Portland","Oregon","97218","United States",27823889,"PINE CREST FABRICS 6015 NE 80TH AVE PORTLAND                OR 97218 US","Jeko Co. Co., Ltd.","265 Bongju Ro , Sungkeo Eup Seobuk, Gu Chonan Si, Korea, South Korea","","","","","South Korea",10350998,"JEKO COMPANY CO.,LTD. 265 BONGJU-RO SUNGKEO-EUP ,SEOBUK-GU CHONAN-SI                        KR","EXDO - Expeditors International Of Washington Inc","","EXDO - Expeditors International Of Washington Inc","House","HDMUBUWB9321081","South Korea","Port of Portland, Portland, Oregon","Pacific Region","Port of Tacoma, Tacoma, Washington","Pacific Region","Busan, South Korea","Eastern Asia","South Korea","BUSAN","Maritime","HYUNDAI INTEGRAL","89",9347592,1,0.05,"8 CTN","2 CM",487,0.487,"487 KG",3400,NA,1,"Immediate Transportation (IT)",1,1,2020-01-02
"4",189776728,"OERT215718J00487",2020-05-15,"Wnsche USA Inc.","801 CIRCLE AV FOREST PARK IL 6 708 689 8710 FOREST PARK IL US","801 Circle Avenue","Forest Park","Illinois","60130","United States",62288290,"WUENSCHE USA 801 CIRCLE AVENUE, FOREST PARK, IL 60130, UNITED STATES","Zhejiang Merry Life Food Co., Ltd.","Jiangkou Food Industrial Area, Huangyan, Taizhou, Zhejiang, China, 318020","","Taizhou","Zhejiang","318020","China",27783794,"ZHEJIANG MERRY LIFE FOOD CO., LTD. NO.58 DEJIAN ROAD, JIANGKOU STREET HUANGYAN,TAIZHOU, ZHEJIANG, CHINA","OERT - Orient Express Container Co Ltd","WUENSCHE USA 801 CIRCLE AVENUE, FOREST PARK, IL, 60130, UNITED STATES","CMDU - Cma Cgm","House","CMDUNBYE069700","China","Georgia Ports Authority, Savannah, Georgia","Southeast Region","Georgia Ports Authority, Savannah, Georgia","Southeast Region","Ningbo, China","Eastern Asia","China","NINGBO","Maritime","EVER LIVELY","0949E",9604134,1,4,"13132 CTN","116 CM",42483,42.483,"42483 KG",42300,NA,55816,"",2,NA,2020-05-16
"5",189776808,"BARSANMI20231431",2020-05-16,"Mhfs Group Llc Sefa Stone","1777 NW 72ND AV MIAMI 33126 US","1777 Northwest 72nd Avenue","Miami","Florida","33126","United States",62140404,"MHFS GROUP LLC SEFA STONE 1777 NW 72ND AVENUE MIAMI FL33126 USIBRAHIM VAROL","Aytan Mermer Madencilik","NESETIYE KOYU GERMENCIK AYDIN TURKIYE TURKEY","","","","","Turkey",36503191,"AYTAN MERMER MADENCILIK ITH.IHR.SAN NESETIYE MH.HURRIYET CD.N:7 GERMENC IK AYDIN TURKIYE AYDIN 09000 TRSELMA KARAAYAK","BARS - Barsan Global Logistics Inc","MHFS GROUP LLC SEFA STONE 1777 NW 72ND AVENUE, MIAMI FL33126 USIBRAHIM VAROL  ;  BARSAN GLOBAL LOGISTICS INC 432 BERGEN BLVD UNIT #D 2. FLOOR, RIDGEFIELD NJ07657 USSEVGI CEBE","MEDU - Msc Meditterranean Shipping Company Sa","House","MEDUAT042481","Turkey","Port Of Entry-Miami Seaport, Miami, Florida","Southeast Region","Port Of Entry-Miami Seaport, Miami, Florida","Southeast Region","Porto De Sines, Portugal","Southern Europe","Portugal","AYDIN","Maritime","MSC BEIJING","017W",NA,1,2,"38 CAS","",53828,53.828,"53828 KG",NA,NA,423188,"",2,NA,2020-05-18
"6",189776828,"SUDUB0GYE004258X",2020-05-14,"The Hershey Co.","100 CRYSTAL A DRIVE HERSHEY, PA 17033-9524","100 Crystal A Drive","Hershey","Pennsylvania","17033","United States",27821044,"TO THE ORDER OF HERSHEY TRADING GMBH PILATUSSTRASSE 41 PILATUSSTRASSE 41 PA17033 US","Ecuador Kakao Processing Proecuakao S.A.","S.A. VIAA LAS IGUANAS CALLE 12 S/N RUC 0993084832001 EC","Chimborazo","Guayaquil","Guayas","090313","Ecuador",61210914,"ECUADOR KAKAO PROCESSING PROECUAKAO S.A VIA A LAS IGUANAS CALLE 12 S/N RUC 0993084832001 EC","SUDU - Hamburg Sued","EXPEDITORS INTERNATIONAL 519 KAISER DRIVE SUITE A, MORMANDO 610-534-2590 /, FOLCROFT, PA 19032 PA19032 US","","Simple","","Ecuador","New York, New York","New York Region","New York, New York","New York Region","Manzanillo, Panama","Central America","Panama","GUAYAQUIL EC","Maritime","MAERSK GATESHEAD","019N",9235543,1,3,"2592 BOX","",66821,66.821,"66821 KG",280000,NA,433344,"",3,NA,2020-05-16
"7",197096184,"MAEUJKT841915",2020-10-12,"Expeditors International","245 ROGER AV INWOOD NY 11096 USA","245 Roger Avenue","Inwood","New York","11096","United States",89456324,"","","","","","","","",NA,"","MAEU - Maersk Line","Expeditors International 5757 WEST CENTURY BLVD., SUITE 200, LOS ANGELES, CA 90045, ATTN: BRENDA VALENZUELA, 1-3237811600","","Simple","","Singapore","New York/Newark Area, Newark, New Jersey","New York Region","New York/Newark Area, Newark, New Jersey","New York Region","Singapore, Singapore","South-Eastern Asia","Singapore","JAKARTA","Maritime","MAERSK SANTANA","037W",9289934,1,0.14,"63 CTN","3 CM",837.332,0.84,"1846 LB",16900,NA,1,"",1,NA,2020-10-14
"8",197366034,"FVGI200121000673",2020-10-18,"Giorgio Armani Corporation","114, 5th Avenue,  17th Floor, New York, United States, 10011","114 5th Avenue","New York","New York","10011","United States",27863918,"GIORGIO ARMANI CORPORATION 114, 5th Avenue,  17th Floor New York 10011 United States","Giorgio Armani SpA","MILAN MI 20121","11 Via Borgonuovo","Milan","Lombardy","20121","Italy",44659418,"GIORGIO ARMANI SPA VIA BERGOGNONE 38 MILANO MI20154 IT","FVGI - Franco Vago International Inc","","YMLU - Yang Ming Marine Transport Corp","House","YMLUT616075739","Italy","New York/Newark Area, Newark, New Jersey","New York Region","New York/Newark Area, Newark, New Jersey","New York Region","La Spezia, Italy","Southern Europe","Italy","LA SPEZIA ITALY","Maritime","CMA CGM NABUCCO","015W",9299630,1,0.46,"872 PKG","",1560,1.56,"1560 K",NA,NA,1,"",2,NA,2020-10-19
"9",197377674,"MEDUGU670055",2020-10-17,"","","","","","","",NA,"","","","","","","","",NA,"","MEDU - Msc Meditterranean Shipping Company Sa","","","Simple","","Bahamas","Jacksonville, Florida","Southeast Region","Jacksonville, Florida","Southeast Region","Freeport, Grand Bahama I, Bahamas","Caribbean","Bahamas","GUAYAQUIL","Maritime","JSP AMIHAN","042A",9449687,1,2,"72 DRM","60 X",19710,19.71,"19710 K",NA,NA,1,"",1,NA,2020-10-19
"10",184111908,"HDMUQSWB8411405",2020-01-01,"Target Custom Brokers Inc.","7000 TARGET PARKWAY NORTH NCD 4452 BROOKLYN PARK MN 55445","7000 Target Parkway","Brooklyn Park","Minnesota","55445","United States",33597707,"","","","","","","","",NA,"","HDMU - Hyundai Merchant Marine","TARGET CUSTOMS BROKERS INC. 33 SOUTH 6TH STREET, TCBI, MINNEAPOLIS, MN 55402 USA, TEL: 763-405-0296, TEFAX: 612-304-3113","","Simple","","China","Port of Tacoma, Tacoma, Washington","Pacific Region","Port of Tacoma, Tacoma, Washington","Pacific Region","Shanghai, China","Eastern Asia","China","SHANGHAI, CHINA","Maritime","HYUNDAI INTEGRAL","0089E",9347592,1,1.46,"1250 CTN","",6125,6.125,"6125 KG",NA,NA,1,"",1,NA,2020-01-02
